M, n, estimated_pi
C, 100, 3.3333333333333335
B, 100, 2.4390243902439024
C, 10000, 3.0959752321981426
B, 10000, 3.161555485298767
C, 1000000, 3.1395104247443655
B, 1000000, 3.1439323677269053
C, 100000000, 3.1416519333663167
B, 100000000, 3.1418679033058736
