Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
bench/stack exec hit-n-miss -- -n200,0.17355564813744645,0.17164804969603817,0.17900148298756496,4.61893288041395e-3,3.8025362385823037e-4,6.72496596938549e-3
bench/stack exec hit-n-miss -- -n20000,0.17625391275578295,0.1749281007950707,0.1781181542610284,2.2997259330293624e-3,1.416775792687337e-3,3.4942852941538807e-3
bench/stack exec hit-n-miss -- -n2000000,0.2495090812659085,0.2475088193323851,0.2519468789995881,2.760480818516234e-3,1.7577954755535494e-3,3.4437382121770216e-3
bench/stack exec hit-n-miss -- -n200000000,7.226119867269517,7.091929335398163,7.312332371247976,0.13007718795868053,5.178202533352305e-2,0.17059324180758975
