Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
bench/stack exec buffon-exe -- -MC -n100000,0.24480320257954494,0.24340374189972258,0.2462977035403795,1.9725382850265434e-3,1.1511821698153677e-3,2.6418134519040934e-3
bench/stack exec hit-n-miss -- -n100000,0.17938984209350664,0.17885251826034318,0.1799523593884563,7.446910622922058e-4,5.147076244502038e-4,1.0338236049523858e-3
